,object_id,mjd,passband,flux,flux_err,detected
0,615,59750.4229,2,-544.810303,3.6229519999999997,1
1,615,59750.4306,1,-816.4343259999999,5.55337,1
2,615,59750.4383,3,-471.385529,3.8012129999999997,1
3,615,59750.445,4,-388.984985,11.395031,1
4,615,59752.407,2,-681.858887,4.0412040000000005,1
5,615,59752.4147,1,-1061.4570310000001,6.472994,1
6,615,59752.4224,3,-524.95459,3.552751,1
7,615,59752.4334,4,-393.480225,3.5993459999999997,1
8,615,59752.4435,5,-355.88678,10.421921000000001,1
9,615,59767.2968,2,-548.01355,3.4622910000000005,1
10,615,59767.3045,1,-815.1885990000001,5.293019,1
11,615,59767.3122,3,-475.51605199999995,3.340643,1
12,615,59767.3233,4,-405.663818,3.496113,1
13,615,59767.3343,5,-421.199066,6.377517,1
14,615,59770.2179,2,-554.9031980000001,3.927843,1
15,615,59770.2256,1,-820.042786,5.875329,1
16,615,59770.2334,3,-477.00473,3.7362620000000004,1
17,615,59770.2445,4,-400.270386,3.8349550000000003,1
18,615,59770.2557,5,-415.286896,7.435979,1
19,615,59779.3188,2,-630.523682,4.333287,1
20,615,59779.3265,1,-921.0025019999999,6.3068,1
21,615,59779.3342,3,-518.533997,3.915225,1
22,615,59779.3452,4,-422.184509,4.089213,1
23,615,59779.3562,5,-422.81509400000004,8.124096,1
24,615,59782.1897,2,-280.03952000000004,2.819228,1
25,615,59782.1974,1,-449.095612,4.02831,1
26,615,59782.2051,3,-316.704865,3.4911529999999997,1
27,615,59782.2162,4,-332.885437,4.021619,1
28,615,59782.2274,5,-365.075775,8.514805,1
29,615,59797.2861,2,391.399231,3.098059,1
30,615,59797.2938,1,35.511821999999995,3.163646,1
31,615,59797.3015,3,330.623901,3.388776,1
32,615,59797.3126,4,360.397858,3.980607,1
33,615,59797.3237,5,369.439667,8.20749,1
34,615,59800.3168,2,168.739899,3.128495,1
35,615,59800.3244,1,129.541901,4.358776,1
36,615,59800.332,3,30.120724,3.396606,1
37,615,59800.3429,4,-60.942333,3.704243,1
38,615,59800.3539,5,-128.920334,7.4957009999999995,1
39,615,59807.1738,2,-256.66098,2.781354,1
40,615,59807.1815,1,-420.796417,4.037735,1
41,615,59807.1892,3,-298.93685899999997,3.0413900000000003,1
42,615,59807.2003,4,-311.977783,3.318007,1
43,615,59807.2114,5,-344.53607200000005,6.3672010000000006,1
44,615,59810.1045,2,-342.81976299999997,2.808321,1
45,615,59810.1122,1,-527.020325,4.204173,1
46,615,59810.12,3,-363.282532,3.237536,1
47,615,59810.1311,4,-348.628662,3.774855,1
48,615,59810.1422,5,-391.271271,7.657067,1
49,615,59813.1044,2,-678.0457150000001,4.032819,1
50,615,59813.1122,1,-1100.440063,6.709105999999999,1
51,615,59813.1199,3,-506.687408,3.5473980000000003,1
52,615,59813.131,4,-304.049713,3.590496,1
